id,pais,ciudad,region_geografica,servicio,metrica,spearman_rho,p_valor,significativo
3,México,Chihuahua,Norte,mercado,closeness_c,-0.4047,0.0,True
3,México,Chihuahua,Norte,mercado,degree_c,-0.1161,0.0,True
3,México,Chihuahua,Norte,parque,betweenness_c,-0.0355,0.0,True
3,México,Chihuahua,Norte,parque,closeness_c,-0.2231,0.0,True
3,México,Chihuahua,Norte,parque,degree_c,-0.0079,0.240056,False
3,México,Chihuahua,Norte,policia,betweenness_c,-0.1082,0.0,True
3,México,Chihuahua,Norte,policia,closeness_c,-0.3484,0.0,True
3,México,Chihuahua,Norte,policia,degree_c,-0.1091,0.0,True
4,México,Monterrey,Noreste,bomberos,betweenness_c,0.0043,0.462044,False
4,México,Monterrey,Noreste,bomberos,closeness_c,-0.2826,0.0,True
4,México,Monterrey,Noreste,bomberos,degree_c,-0.0111,0.054803,False
4,México,Monterrey,Noreste,clinica,betweenness_c,-0.0557,0.0,True
4,México,Monterrey,Noreste,clinica,closeness_c,-0.1884,0.0,True
4,México,Monterrey,Noreste,clinica,degree_c,-0.0654,0.0,True
4,México,Monterrey,Noreste,escuela,betweenness_c,-0.0672,0.0,True
4,México,Monterrey,Noreste,escuela,closeness_c,-0.0438,0.0,True
4,México,Monterrey,Noreste,escuela,degree_c,-0.0975,0.0,True
4,México,Monterrey,Noreste,farmacia,betweenness_c,-0.0529,0.0,True
4,México,Monterrey,Noreste,farmacia,closeness_c,-0.1025,0.0,True
4,México,Monterrey,Noreste,farmacia,degree_c,-0.0448,0.0,True
4,México,Monterrey,Noreste,hospital,betweenness_c,-0.0784,0.0,True
4,México,Monterrey,Noreste,hospital,closeness_c,-0.2997,0.0,True
4,México,Monterrey,Noreste,hospital,degree_c,-0.1012,0.0,True
4,México,Monterrey,Noreste,mercado,betweenness_c,-0.1055,0.0,True
4,México,Monterrey,Noreste,mercado,closeness_c,-0.1685,0.0,True
4,México,Monterrey,Noreste,mercado,degree_c,-0.1217,0.0,True
