id,pais,ciudad,metodo_red,n_nodos,n_pois_total,servicios_con_datos,cobertura_baja
97,Colombia,Sabaneta,pbf_disk_6000m,15102,706,8,False
98,Colombia,Candelaria,pbf_disk_6000m,2178,37,8,False
99,Colombia,Garzón,pbf_disk_6000m,1522,67,8,False
100,Colombia,Montelíbano,pbf_disk_6000m,1891,40,4,False
101,Colombia,Caldas,pbf_disk_6000m,3279,167,8,False
102,Colombia,Acacías,pbf_disk_6000m,3496,109,6,False
103,Colombia,Turbaco,pbf_disk_6000m,3574,57,5,False
104,Colombia,Espinal,pbf_disk_6000m,2425,109,8,False
105,Colombia,Calarcá,pbf_disk_6000m,9388,1915,8,False
106,Colombia,Copacabana,pbf_disk_6000m,6085,271,8,False
107,Colombia,El Carmen de Bolívar,pbf_disk_6000m,1234,57,7,False
108,Colombia,Arjona,pbf_disk_6000m,1776,45,2,False
109,Colombia,La Dorada,pbf_disk_6000m,1876,16,7,False
110,Colombia,Granada,pbf_disk_6000m,2870,73,7,False
111,Colombia,Santa Rosa de Cabal,pbf_disk_6000m,3796,73,7,False
112,Colombia,Villamaría,pbf_disk_6000m,10035,594,8,False
113,Colombia,Corozal,pbf_disk_6000m,2614,155,7,False
114,Colombia,Fundación,pbf_disk_6000m,1858,83,7,False
115,Colombia,Chiquinquirá,pbf_disk_6000m,1651,92,7,False
116,Colombia,Baranoa,pbf_disk_6000m,2896,57,7,False
117,Colombia,Puerto Colombia,pbf_disk_6000m,1304,32,6,False
118,Colombia,Tierralta,pbf_disk_6000m,1778,67,7,False
119,Colombia,Manaure,pbf_disk_6000m,1961,56,8,False
120,Colombia,Cajicá,pbf_disk_6000m,8070,135,8,False
121,Colombia,Los Patios,pbf_disk_6000m,9692,661,8,False
122,Colombia,Chigorodó,pbf_disk_6000m,1155,39,5,False
123,Colombia,La Estrella,pbf_disk_6000m,10151,436,8,False
124,Colombia,Necoclí,pbf_disk_6000m,584,32,5,False
125,Colombia,San Vicente del Caguán,pbf_disk_6000m,1048,36,5,False
126,Colombia,Planeta Rica,pbf_disk_6000m,920,30,2,False
127,Colombia,La Plata,pbf_disk_6000m,968,39,7,False
128,Colombia,Carepa,pbf_disk_6000m,1350,23,4,False
129,Colombia,La Ceja,pbf_disk_6000m,3183,57,7,False
130,Colombia,Zona Bananera,pbf_disk_6000m,613,12,2,False
131,Colombia,Marinilla,pbf_disk_6000m,6437,187,8,False
132,Colombia,Girardota,pbf_disk_6000m,2971,71,7,False
133,Colombia,Puerto Asís,pbf_disk_6000m,1593,50,8,False
134,Colombia,El Banco,pbf_disk_6000m,1231,78,8,False
135,Colombia,Plato,pbf_disk_6000m,1207,37,3,False
136,Colombia,El Cerrito,pbf_disk_6000m,1807,24,5,False
137,Colombia,Florida,pbf_disk_6000m,1080,18,8,False
138,Colombia,Riosucio,pbf_disk_6000m,786,18,7,False
139,Colombia,Pradera,pbf_disk_6000m,992,10,6,False
140,Colombia,Puerto Boyacá,pbf_disk_6000m,769,36,5,False
141,Colombia,Pamplona,pbf_disk_6000m,1026,76,5,False
142,Colombia,Tibú,pbf_disk_6000m,990,42,6,False
143,Colombia,Galapa,pbf_disk_6000m,2072,29,6,False
144,Colombia,San Marcos,pbf_disk_6000m,908,19,1,False
145,Colombia,Agustín Codazzi,pbf_disk_6000m,1499,34,4,False
146,Colombia,Tame,pbf_disk_6000m,1371,47,6,False
147,Colombia,Ciénaga de Oro,pbf_disk_6000m,959,21,3,False
148,Colombia,Chinchiná,pbf_disk_6000m,2187,57,8,False
149,Colombia,Puerto Tejada,pbf_disk_6000m,5060,84,6,False
150,Colombia,María la Baja,pbf_disk_6000m,707,21,1,False
151,Colombia,Aguazul,pbf_disk_6000m,1357,77,6,False
152,Colombia,Mompós,pbf_disk_6000m,837,90,6,False
153,Colombia,Túquerres,pbf_disk_6000m,970,70,6,False
154,Colombia,Melgar,pbf_disk_6000m,2713,51,6,False
155,Colombia,Guapi,pbf_disk_6000m,436,57,7,False
156,Colombia,Istmina,pbf_disk_6000m,412,25,4,False
157,Colombia,Villa de Leyva,pbf_disk_6000m,1860,72,8,False
