columna,descripcion
corr_clinica_degree_c_rho,Spearman rho entre degree_c y distancia a 'clinica'
corr_escuela_betweenness_c_p,p-valor de la correlación betweenness_c vs distancia a 'escuela'
corr_escuela_betweenness_c_rho,Spearman rho entre betweenness_c y distancia a 'escuela'
corr_escuela_closeness_c_p,p-valor de la correlación closeness_c vs distancia a 'escuela'
corr_escuela_closeness_c_rho,Spearman rho entre closeness_c y distancia a 'escuela'
corr_escuela_degree_c_p,p-valor de la correlación degree_c vs distancia a 'escuela'
corr_escuela_degree_c_rho,Spearman rho entre degree_c y distancia a 'escuela'
corr_farmacia_betweenness_c_p,p-valor de la correlación betweenness_c vs distancia a 'farmacia'
corr_farmacia_betweenness_c_rho,Spearman rho entre betweenness_c y distancia a 'farmacia'
corr_farmacia_closeness_c_p,p-valor de la correlación closeness_c vs distancia a 'farmacia'
corr_farmacia_closeness_c_rho,Spearman rho entre closeness_c y distancia a 'farmacia'
corr_farmacia_degree_c_p,p-valor de la correlación degree_c vs distancia a 'farmacia'
corr_farmacia_degree_c_rho,Spearman rho entre degree_c y distancia a 'farmacia'
corr_hospital_betweenness_c_p,p-valor de la correlación betweenness_c vs distancia a 'hospital'
corr_hospital_betweenness_c_rho,Spearman rho entre betweenness_c y distancia a 'hospital'
corr_hospital_closeness_c_p,p-valor de la correlación closeness_c vs distancia a 'hospital'
corr_hospital_closeness_c_rho,Spearman rho entre closeness_c y distancia a 'hospital'
corr_hospital_degree_c_p,p-valor de la correlación degree_c vs distancia a 'hospital'
corr_hospital_degree_c_rho,Spearman rho entre degree_c y distancia a 'hospital'
corr_mercado_betweenness_c_p,p-valor de la correlación betweenness_c vs distancia a 'mercado'
corr_mercado_betweenness_c_rho,Spearman rho entre betweenness_c y distancia a 'mercado'
corr_mercado_closeness_c_p,p-valor de la correlación closeness_c vs distancia a 'mercado'
corr_mercado_closeness_c_rho,Spearman rho entre closeness_c y distancia a 'mercado'
corr_mercado_degree_c_p,p-valor de la correlación degree_c vs distancia a 'mercado'
