id,pais,ciudad,region_geografica,servicio,n_pois,dist_mean,dist_median,dist_std,dist_p90,dist_cv,pct_acceso
8,México,San Luis Potosí,Centro-Norte,hospital,22,2102.212515,1732.157,1451.737556,4446.1976,0.6906,22.68
8,México,San Luis Potosí,Centro-Norte,clinica,19,2410.981224,2300.58,1409.262791,4452.8744,0.5845,20.6
8,México,San Luis Potosí,Centro-Norte,farmacia,72,1173.164778,893.64,900.609286,2550.9474,0.7677,54.85
8,México,San Luis Potosí,Centro-Norte,escuela,187,758.732026,622.673,573.608059,1500.4498,0.756,75.1
8,México,San Luis Potosí,Centro-Norte,mercado,3509,200.48058,111.389,306.511968,434.8986,1.5289,96.77
8,México,San Luis Potosí,Centro-Norte,parque,782,617.200035,469.55,547.082052,1325.6476,0.8864,80.73
8,México,San Luis Potosí,Centro-Norte,policia,9,2257.424817,2123.444,1163.19105,3926.3646,0.5153,13.82
8,México,San Luis Potosí,Centro-Norte,bomberos,4,3397.955096,3344.178,1532.627115,5465.1624,0.451,5.53
9,México,Querétaro,Bajío (Centro),hospital,34,1757.396865,1492.595,1239.292433,3421.954,0.7052,31.02
9,México,Querétaro,Bajío (Centro),clinica,22,2123.087081,1764.763,1454.60359,4278.756,0.6851,26.43
9,México,Querétaro,Bajío (Centro),farmacia,177,834.406442,596.639,826.13209,1735.546,0.9901,72.88
9,México,Querétaro,Bajío (Centro),escuela,218,786.733742,576.127,723.357703,1718.261,0.9194,76.86
9,México,Querétaro,Bajío (Centro),mercado,1072,401.462747,240.327,539.534097,853.634,1.3439,92.18
9,México,Querétaro,Bajío (Centro),parque,716,469.191473,354.09,519.670688,923.132,1.1076,91.8
9,México,Querétaro,Bajío (Centro),policia,16,1745.583826,1555.799,1081.089269,3169.074,0.6193,26.14
9,México,Querétaro,Bajío (Centro),bomberos,5,3043.430849,2631.117,1771.337292,5679.946,0.582,9.2
10,México,Ciudad de México,Centro,hospital,85,903.957317,801.236,534.79592,1635.343,0.5916,64.33
10,México,Ciudad de México,Centro,clinica,103,770.581497,715.738,420.056015,1359.3796,0.5451,72.58
10,México,Ciudad de México,Centro,farmacia,245,584.295228,508.9555,381.446984,1126.4186,0.6528,85.45
10,México,Ciudad de México,Centro,escuela,579,385.439106,339.635,254.79172,724.7217,0.661,97.49
10,México,Ciudad de México,Centro,mercado,1045,305.869544,247.782,239.707918,639.0821,0.7837,98.56
10,México,Ciudad de México,Centro,parque,2535,284.128334,244.988,228.792455,590.4768,0.8052,99.18
10,México,Ciudad de México,Centro,policia,41,1160.412123,1100.3525,592.65296,1972.3391,0.5107,43.44
10,México,Ciudad de México,Centro,bomberos,3,3053.715583,3032.3325,1344.689627,4903.0114,0.4403,6.18
11,México,Puebla,Centro-Oriente,hospital,31,1729.998156,1491.9495,1065.78723,3282.5815,0.6161,29.07
11,México,Puebla,Centro-Oriente,clinica,29,1925.90946,1796.1175,1171.104097,3485.9614,0.6081,25.76
11,México,Puebla,Centro-Oriente,farmacia,118,1011.364301,885.9275,682.95201,1909.3745,0.6753,55.9
11,México,Puebla,Centro-Oriente,escuela,291,630.317576,555.647,436.195267,1155.9668,0.692,84.24
11,México,Puebla,Centro-Oriente,mercado,227,706.957294,594.8805,523.495235,1440.4894,0.7405,76.81
11,México,Puebla,Centro-Oriente,parque,605,658.354552,497.113,583.588342,1443.4808,0.8864,80.8
11,México,Puebla,Centro-Oriente,policia,4,4095.474792,4147.001,1736.350644,6378.8461,0.424,4.98
11,México,Puebla,Centro-Oriente,bomberos,1,7138.241762,7286.702,2836.646018,10706.327,0.3974,1.05
12,México,Veracruz,Golfo (Oriente),hospital,32,1288.859684,1188.075,752.644591,2257.7544,0.584,39.67
12,México,Veracruz,Golfo (Oriente),clinica,16,2095.06624,1784.308,1378.375779,4107.4738,0.6579,22.65
12,México,Veracruz,Golfo (Oriente),farmacia,86,757.666634,629.975,597.093191,1403.6582,0.7881,74.19
12,México,Veracruz,Golfo (Oriente),escuela,351,405.220377,314.175,439.269724,760.8952,1.084,94.94
12,México,Veracruz,Golfo (Oriente),mercado,229,440.38454,370.491,422.307457,790.4854,0.959,95.89
12,México,Veracruz,Golfo (Oriente),parque,252,592.766451,477.628,547.800907,1155.1512,0.9241,85.45
12,México,Veracruz,Golfo (Oriente),policia,9,2486.33075,2303.965,1338.08115,4334.8014,0.5382,12.68
12,México,Veracruz,Golfo (Oriente),bomberos,4,3090.689438,3160.867,1340.334712,4830.9952,0.4337,6.49
13,México,Oaxaca de Juárez,Sur,hospital,48,1783.375292,1593.392,1190.860985,3396.7504,0.6678,33.63
13,México,Oaxaca de Juárez,Sur,clinica,804,534.537545,394.983,538.807414,1113.9862,1.008,87.07
13,México,Oaxaca de Juárez,Sur,farmacia,77,1410.804242,1181.663,1034.766423,2872.043,0.7335,42.67
13,México,Oaxaca de Juárez,Sur,escuela,718,376.231955,273.469,419.770096,760.8478,1.1157,94.04
13,México,Oaxaca de Juárez,Sur,mercado,245,829.770183,634.443,724.762038,1809.27,0.8734,70.77
13,México,Oaxaca de Juárez,Sur,parque,121,1131.263976,880.503,881.485919,2412.2492,0.7792,55.87
13,México,Oaxaca de Juárez,Sur,policia,2,4125.576544,4185.812,1704.343718,6253.548,0.4131,3.25
13,México,Oaxaca de Juárez,Sur,bomberos,1,4504.305545,4511.81,1668.149461,6621.1914,0.3703,1.45
14,México,Tuxtla Gutiérrez,Sur,hospital,14,2179.444892,1975.16,1256.403879,3944.1418,0.5765,16.72
14,México,Tuxtla Gutiérrez,Sur,clinica,10,2768.805552,2401.574,1738.794768,4979.2036,0.628,10.49
14,México,Tuxtla Gutiérrez,Sur,farmacia,46,1756.249814,1404.88,1377.069448,3570.2748,0.7841,35.93
14,México,Tuxtla Gutiérrez,Sur,escuela,84,1126.582204,939.021,761.543444,2204.1796,0.676,52.96
14,México,Tuxtla Gutiérrez,Sur,mercado,108,1056.492718,748.047,930.322305,2386.132,0.8806,61.46
14,México,Tuxtla Gutiérrez,Sur,parque,125,764.452009,629.74,548.568437,1506.7804,0.7176,74.75
14,México,Tuxtla Gutiérrez,Sur,policia,5,5260.74286,5239.766,2965.5054,9502.886,0.5637,6.04
14,México,Tuxtla Gutiérrez,Sur,bomberos,1,4721.271442,4724.578,2044.088433,7532.8144,0.433,2.82
15,México,Mérida,Sureste (Península),hospital,29,1733.545128,1568.555,1028.823698,3131.756,0.5935,27.92
15,México,Mérida,Sureste (Península),clinica,24,2038.419874,1742.727,1384.380902,4237.354,0.6791,27.38
15,México,Mérida,Sureste (Península),farmacia,99,1073.235364,825.666,917.536933,2336.619,0.8549,59.99
15,México,Mérida,Sureste (Península),escuela,133,793.060378,649.662,632.618899,1530.205,0.7977,76.63
15,México,Mérida,Sureste (Península),mercado,241,603.358328,472.41,506.037845,1211.011,0.8387,84.43
15,México,Mérida,Sureste (Península),parque,341,435.978216,395.133,288.936369,827.042,0.6627,95.55
15,México,Mérida,Sureste (Península),policia,9,2542.632146,2268.528,1470.051249,4459.901,0.5782,13.93
15,México,Mérida,Sureste (Península),bomberos,2,4988.59113,5025.006,2172.592165,7929.459,0.4355,3.85
16,México,Valle de Bravo,Centro (Pueblo Mágico),hospital,7,4151.173512,4284.662,3030.318533,7907.15,0.73,22.84
16,México,Valle de Bravo,Centro (Pueblo Mágico),clinica,4,4643.799056,4908.926,3243.819135,8471.483,0.6985,19.75
16,México,Valle de Bravo,Centro (Pueblo Mágico),farmacia,8,3535.486515,3029.032,2755.53294,7693.8976,0.7794,22.84
16,México,Valle de Bravo,Centro (Pueblo Mágico),escuela,28,2439.27705,1871.904,2328.116781,5817.8758,0.9544,33.97
16,México,Valle de Bravo,Centro (Pueblo Mágico),mercado,31,2734.798937,1699.324,2786.645372,7425.553,1.019,35.61
16,México,Valle de Bravo,Centro (Pueblo Mágico),parque,32,2245.807355,1589.117,1968.529203,5357.7838,0.8765,30.73
